,hour,grids
0,12.0,15677
1,12.0,15678
2,12.0,15679
3,12.0,15680
4,12.0,15680
5,12.0,15681
6,12.0,15682
7,12.0,15683
8,12.0,15683
9,12.0,15684
10,12.0,15685
11,12.0,15686
12,12.0,15687
13,12.0,15687
14,12.0,15688
15,12.0,15689
16,12.0,15690
17,12.0,15690
18,12.0,15691
19,12.0,15692
20,12.0,15693
21,12.0,15693
22,12.0,15694
23,12.0,15695
24,12.0,15696
25,12.0,15697
26,12.0,15697
27,12.0,15698
28,12.0,15699
29,12.0,15700
30,12.0,15836
31,12.0,15837
32,12.0,15838
33,12.0,15839
34,12.0,15839
35,12.0,15840
36,12.0,15841
37,12.0,15842
38,12.0,15842
39,12.0,15843
40,12.0,15844
41,12.0,15845
42,12.0,15846
43,12.0,15846
44,12.0,15847
45,12.0,15848
46,12.0,15849
47,12.0,15849
48,12.0,15850
49,12.0,15851
50,12.0,15852
51,12.0,15852
52,12.0,15853
53,12.0,15854
54,12.0,15855
55,12.0,15856
56,12.0,15856
57,12.0,15857
58,12.0,15858
59,12.0,15859
60,12.0,15995
61,12.0,15996
62,12.0,15997
63,12.0,15998
64,12.0,15998
65,12.0,15999
66,12.0,16000
67,12.0,16001
68,12.0,16001
69,12.0,16002
70,12.0,16003
71,12.0,16004
72,12.0,16005
73,12.0,16005
74,12.0,16006
75,12.0,16007
76,12.0,16008
77,12.0,16008
78,12.0,16009
79,12.0,16010
80,12.0,16011
81,12.0,16011
82,12.0,16012
83,12.0,16013
84,12.0,16014
85,12.0,16015
86,12.0,16015
87,12.0,16016
88,12.0,16017
89,12.0,16018
90,12.0,16154
91,12.0,16155
92,12.0,16156
93,12.0,16157
94,12.0,16157
95,12.0,16158
96,12.0,16159
97,12.0,16160
98,12.0,16160
99,12.0,16161
100,12.0,16162
101,12.0,16163
102,12.0,16164
103,12.0,16164
104,12.0,16165
105,12.0,16166
106,12.0,16167
107,12.0,16167
108,12.0,16168
109,12.0,16169
110,12.0,16170
111,12.0,16170
112,12.0,16171
113,12.0,16172
114,12.0,16173
115,12.0,16174
116,12.0,16174
117,12.0,16175
118,12.0,16176
119,12.0,16177
120,12.0,16303
121,12.0,16304
122,12.0,16305
123,12.0,16306
124,12.0,16306
125,12.0,16307
126,12.0,16308
127,12.0,16309
128,12.0,16309
129,12.0,16310
130,12.0,16311
131,12.0,16312
132,12.0,16313
133,12.0,16313
134,12.0,16313
135,12.0,16314
136,12.0,16314
137,12.0,16315
138,12.0,16315
139,12.0,16316
140,12.0,16316
141,12.0,16316
142,12.0,16316
143,12.0,16317
144,12.0,16317
145,12.0,16318
146,12.0,16318
147,12.0,16319
148,12.0,16319
149,12.0,16319
150,12.0,16319
151,12.0,16320
152,12.0,16320
153,12.0,16321
154,12.0,16321
155,12.0,16322
156,12.0,16322
157,12.0,16323
158,12.0,16323
159,12.0,16323
160,12.0,16323
161,12.0,16324
162,12.0,16324
163,12.0,16325
164,12.0,16325
165,12.0,16326
166,12.0,16326
167,12.0,16326
168,12.0,16326
169,12.0,16327
170,12.0,16327
171,12.0,16328
172,12.0,16328
173,12.0,16329
174,12.0,16329
175,12.0,16329
176,12.0,16329
177,12.0,16330
178,12.0,16330
179,12.0,16331
180,12.0,16331
181,12.0,16332
182,12.0,16332
183,12.0,16333
184,12.0,16333
185,12.0,16333
186,12.0,16333
187,12.0,16334
188,12.0,16334
189,12.0,16335
190,12.0,16335
191,12.0,16336
192,12.0,16336
193,12.0,16336
194,12.0,16337
195,12.0,16338
196,12.0,16339
197,12.0,16339
198,12.0,16340
199,12.0,16341
200,12.0,16342
201,12.0,16343
202,12.0,16462
203,12.0,16463
204,12.0,16464
205,12.0,16465
206,12.0,16465
207,12.0,16466
208,12.0,16467
209,12.0,16468
210,12.0,16468
211,12.0,16469
212,12.0,16470
213,12.0,16471
214,12.0,16472
215,12.0,16472
216,12.0,16473
217,12.0,16474
218,12.0,16475
219,12.0,16475
220,12.0,16476
221,12.0,16477
222,12.0,16478
223,12.0,16478
224,12.0,16479
225,12.0,16480
226,12.0,16481
227,12.0,16482
228,12.0,16482
229,12.0,16483
230,12.0,16484
231,12.0,16485
232,12.0,16485
233,12.0,16486
234,12.0,16487
235,12.0,16488
236,12.0,16488
237,12.0,16489
238,12.0,16490
239,12.0,16491
240,12.0,16492
241,12.0,16492
242,12.0,16493
243,12.0,16494
244,12.0,16495
245,12.0,16495
