hour,weighted_av_a,av_a,len_grids
6,37.459588448292415,34.59923928077455,723
7,64.73513352973295,59.80843321917809,584
8,115.66732641534716,108.3336709886548,617
9,198.80658994341005,191.81997607655504,418
10,246.48929819649098,239.21781961471103,571
11,261.4833659420254,275.4434369602764,579
12,347.02669912500005,329.16204751131215,442
13,336.8186792183961,364.9796195652174,552
14,394.2627250404257,412.5003531073446,354
15,359.46507723530885,357.8273168103448,464
16,400.4230098849505,381.1053536345776,509
17,360.9833012833975,338.6931589537224,497
18,265.28760257623094,275.19348894348894,407
