hour,weighted_av_a,av_a,len_grids,explicit
6,31.494464755535244,30.671875,8,0.0
7,50.256378875,51.703125,8,0.0
8,95.96927425,95.85416666666669,6,0.0
9,153.13167425,152.33333333333334,6,0.0
10,200.027366625,198.66666666666663,6,0.0
11,254.06247800000003,239.2083333333333,6,0.0
12,277.6548040951958,268.078125,8,0.0
13,319.1997701752298,313.7083333333333,6,0.0
14,353.5910712160712,378.3333333333333,6,0.0
15,398.3456245293754,390.8958333333333,6,0.0
16,356.5732858017142,351.125,6,0.0
17,315.4169800419801,300.90625,8,0.0
18,271.86718913281084,263.2708333333333,6,0.0
