grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature
1546,7,256.375,-0.25976562,291.0
1595,7,267.875,-0.08984375,291.0
1644,7,285.75,-0.0087890625,291.125
1547,6,280.5,-0.24023438,291.125
1596,7,261.25,-0.1171875,291.0
1645,7,275.375,-0.0625,291.0
1548,6,267.75,-0.24707031,291.125
1597,7,245.0,-0.17773438,291.0
1646,7,258.125,-0.08496094,291.0
1695,7,260.0,-0.036132812,291.125
1500,5,272.5,-0.036132812,291.875
1549,6,255.75,-0.24707031,291.125
1598,7,223.375,-0.24316406,291.0
1647,7,237.75,-0.111328125,291.0
1696,7,257.625,-0.08691406,291.125
1501,5,253.625,0.10449219,292.125
1550,5,278.25,-0.087890625,291.5
1599,6,256.625,-0.20898438,291.125
1648,7,222.375,-0.15234375,291.0
1697,7,262.625,-0.09863281,291.125
1502,5,257.75,0.19335938,292.25
1551,5,258.125,0.018554688,291.75
1600,6,237.875,-0.23242188,291.125
1649,7,212.5,-0.21875,290.875
1698,7,259.75,-0.11230469,291.0
1503,5,250.0,0.23339844,292.125
1552,5,247.25,0.14941406,292.0
1601,6,209.5,-0.17480469,291.125
1650,7,187.75,-0.3154297,290.875
1699,7,244.25,-0.16503906,291.0
1504,6,245.75,0.23535156,291.75
1553,6,219.875,0.25976562,292.0
1602,6,198.75,-0.083984375,291.375
1651,6,206.25,-0.26367188,291.0
1700,7,228.25,-0.23535156,290.875
1505,6,284.5,0.15820312,291.625
1554,5,244.875,0.15234375,292.25
1603,6,183.125,0.10839844,291.625
1652,6,177.875,-0.23046875,291.125
1701,6,247.625,-0.24511719,291.125
1506,6,304.0,0.15625,291.5
1555,5,292.625,0.15429688,291.875
1604,5,246.75,0.21289062,292.125
1653,6,167.125,-0.034179688,291.25
1702,6,213.25,-0.20019531,291.0
1556,5,304.375,0.20703125,291.75
1605,5,287.625,0.28320312,292.125
1654,6,168.25,0.2783203,291.625
1703,6,166.0,-0.083984375,291.125
1557,6,309.875,0.1796875,291.375
1606,6,316.375,0.32421875,291.625
1655,6,218.625,0.44140625,292.0
1704,6,114.125,0.11230469,291.5
1607,6,313.5,0.15039062,291.5
1656,6,281.375,0.32226562,291.75
