grid,level_IND,upward_heat_flux_in_air,upward_air_velocity,air_temperature,m01s00i253,total_flux
1397,6,,0.048828125,287.125,49197510000000.0,
1446,6,,0.00390625,287.125,49225425000000.0,
1495,7,,0.04296875,287.0,49209320000000.0,
1544,7,,-0.0146484375,287.0,49227036000000.0,
1593,7,,0.0390625,287.0,49197240000000.0,
1642,6,,0.083984375,287.375,49192945000000.0,
1691,6,,0.09082031,287.375,49148116000000.0,
1740,6,,0.10839844,287.5,49152143000000.0,
1789,6,,0.125,287.375,49155900000000.0,
1838,7,,0.05859375,287.25,49186770000000.0,
1398,6,,0.076171875,287.125,49224350000000.0,
1447,6,,0.0126953125,287.125,49232405000000.0,
1496,7,,-0.0390625,287.0,49229990000000.0,
1545,7,,-0.08105469,287.0,49224890000000.0,
1594,7,,-0.0087890625,287.0,49206367000000.0,
1643,7,,0.0546875,287.125,49189724000000.0,
1692,7,,0.14355469,287.25,49167175000000.0,
1741,7,,0.15234375,287.25,49159927000000.0,
1790,7,,0.11816406,287.25,49188650000000.0,
1839,7,,0.0009765625,287.25,49196970000000.0,
1399,7,,0.051757812,287.0,49209856000000.0,
1448,7,,-0.0859375,287.0,49231600000000.0,
1497,7,,-0.15625,286.875,49224083000000.0,
1546,7,335.25,-0.095703125,286.875,49226768000000.0,341.5803750443638
1595,7,318.875,-0.0029296875,286.875,49218446000000.0,325.2053750443638
1644,7,317.0,0.038085938,287.0,49203950000000.0,323.3303750443638
1693,7,,0.08300781,287.125,49178986000000.0,
1742,7,,0.103515625,287.25,49180597000000.0,
1791,7,,0.00390625,287.25,49190797000000.0,
1840,7,,-0.016601562,287.25,49204488000000.0,
1400,7,,-0.00390625,287.125,49221936000000.0,
1449,6,,-0.19824219,287.125,49238847000000.0,
1498,6,,-0.19042969,287.0,49229450000000.0,
1547,6,351.5,-0.08300781,287.125,49242874000000.0,357.8303750443638
1596,7,333.5,0.001953125,286.875,49232136000000.0,339.8303750443638
1645,7,321.5,0.038085938,287.0,49222204000000.0,327.8303750443638
1694,7,305.5,0.08496094,287.125,49194020000000.0,311.8303750443638
1743,7,,0.07421875,287.25,49192945000000.0,
1792,7,,0.020507812,287.25,49185965000000.0,
1841,7,,-0.0087890625,287.125,49209588000000.0,
1401,7,,-0.05859375,287.125,49212004000000.0,
1450,6,,-0.17382812,287.0,49213614000000.0,
1499,5,361.75,-0.140625,287.125,49220325000000.0,368.0803750443638
1548,6,359.375,-0.083984375,287.0,49242070000000.0,365.7053750443638
1597,7,333.5,-0.040039062,286.875,49246900000000.0,339.8303750443638
1646,7,308.625,0.020507812,287.0,49240458000000.0,314.9553750443638
1695,7,300.375,0.08105469,287.125,49212810000000.0,306.7053750443638
1744,7,,0.07324219,287.25,49197510000000.0,
1793,7,,0.041015625,287.25,49193750000000.0,
1842,7,,-0.0078125,287.125,49211735000000.0,
1402,7,,-0.04296875,287.125,49196434000000.0,
1451,6,,-0.10644531,287.0,49208782000000.0,
1500,5,354.875,-0.07910156,287.125,49215760000000.0,361.2053750443638
1549,6,361.25,-0.103515625,287.0,49233210000000.0,367.5803750443638
1598,7,328.875,-0.08886719,286.75,49244753000000.0,335.2053750443638
1647,7,291.75,-0.015625,286.875,49254417000000.0,298.0803750443638
1696,7,308.375,0.025390625,287.125,49232136000000.0,314.7053750443638
1745,7,,0.04296875,287.25,49208246000000.0,
1794,7,,0.048828125,287.25,49194824000000.0,
1843,7,,0.015625,287.125,49211735000000.0,
1403,6,,-0.055664062,287.25,49205293000000.0,
1452,6,,-0.09277344,287.0,49201266000000.0,
1501,5,331.5,-0.05078125,287.0,49217104000000.0,337.8303750443638
1550,5,365.75,-0.045898438,287.125,49236163000000.0,372.0803750443638
1599,6,334.0,-0.08691406,287.0,49266228000000.0,340.3303750443638
1648,7,280.875,-0.052734375,286.875,49261664000000.0,287.2053750443638
1697,7,321.625,-0.0107421875,287.0,49235090000000.0,327.9553750443638
1746,7,,0.032226562,287.125,49211467000000.0,
1795,7,,0.068359375,287.25,49204488000000.0,
1844,7,,0.040039062,287.125,49217372000000.0,
1404,6,,-0.07324219,287.25,49182476000000.0,
1453,6,,-0.07910156,287.0,49189455000000.0,
1502,5,336.375,-0.024414062,287.0,49219790000000.0,342.7053750443638
1551,6,328.125,-0.04296875,286.75,49233480000000.0,334.4553750443638
1600,6,322.375,-0.09667969,286.875,49259517000000.0,328.7053750443638
1649,7,282.75,-0.0859375,286.75,49265960000000.0,289.0803750443638
1698,7,325.875,-0.03125,287.0,49246900000000.0,332.2053750443638
1747,7,,0.029296875,287.125,49222204000000.0,
1796,7,,0.061523438,287.125,49211735000000.0,
1845,7,,0.036132812,287.125,49221130000000.0,
1405,5,,-0.03125,287.375,49174423000000.0,
1454,5,,0.01953125,287.25,49180865000000.0,
1503,5,314.875,0.047851562,287.0,49220594000000.0,321.2053750443638
1552,5,312.875,-0.0048828125,287.0,49246363000000.0,319.2053750443638
1601,6,301.375,-0.061523438,286.75,49251195000000.0,307.7053750443638
1650,7,270.625,-0.12011719,286.75,49260860000000.0,276.9553750443638
1699,7,311.0,-0.053710938,286.875,49245020000000.0,317.3303750443638
1748,7,,0.0009765625,287.0,49227840000000.0,
1797,7,,0.045898438,287.125,49220057000000.0,
1846,7,,0.037109375,287.125,49220594000000.0,
1406,5,,0.10839844,287.375,49177644000000.0,
1455,5,,0.12988281,287.25,49192410000000.0,
