,x,y,descrip,grid
0,273551.72057663836,5704889.712368419,BL,1.0
1,273576.9628888663,5705222.5953527,TL,1.0
2,273910.67020839325,5705197.347918436,TR,1.0
3,273885.4278961653,5704864.464934155,BR,1.0
4,273731.1953925158,5705043.530143428,MID,1.0
0,273576.9628888663,5705222.5953527,BL,2.0
1,273602.2052010943,5705555.478336981,TL,2.0
2,273935.9125206212,5705530.2309027165,TR,2.0
3,273910.67020839325,5705197.347918436,BR,2.0
4,273756.43770474376,5705376.413127708,MID,2.0
0,273602.2052010943,5705555.478336981,BL,3.0
1,273627.44751332223,5705888.361321261,TL,3.0
2,273961.15483284916,5705863.113886997,TR,3.0
3,273935.9125206212,5705530.2309027165,BR,3.0
4,273781.6800169717,5705709.296111989,MID,3.0
0,273627.44751332223,5705888.361321261,BL,4.0
1,273652.6898255502,5706221.244305542,TL,4.0
2,273986.3971450771,5706195.996871278,TR,4.0
3,273961.15483284916,5705863.113886997,BR,4.0
4,273806.9223291997,5706042.179096269,MID,4.0
0,273652.6898255502,5706221.244305542,BL,5.0
1,273677.93213777815,5706554.127289822,TL,5.0
2,274011.6394573051,5706528.879855558,TR,5.0
3,273986.3971450771,5706195.996871278,BR,5.0
4,273832.16464142763,5706375.06208055,MID,5.0
0,273677.93213777815,5706554.127289822,BL,6.0
1,273703.1744500061,5706887.010274103,TL,6.0
2,274036.88176953304,5706861.762839839,TR,6.0
3,274011.6394573051,5706528.879855558,BR,6.0
4,273857.4069536556,5706707.945064831,MID,6.0
0,273703.1744500061,5706887.010274103,BL,7.0
1,273728.41676223406,5707219.8932583835,TL,7.0
2,274062.124081761,5707194.645824119,TR,7.0
3,274036.88176953304,5706861.762839839,BR,7.0
4,273882.64926588355,5707040.828049111,MID,7.0
0,273728.41676223406,5707219.8932583835,BL,8.0
1,273753.659074462,5707552.776242664,TL,8.0
2,274087.36639398895,5707527.5288084,TR,8.0
3,274062.124081761,5707194.645824119,BR,8.0
4,273907.8915781115,5707373.711033392,MID,8.0
0,273753.659074462,5707552.776242664,BL,9.0
1,273778.90138669,5707885.659226945,TL,9.0
2,274112.6087062169,5707860.411792681,TR,9.0
3,274087.36639398895,5707527.5288084,BR,9.0
4,273933.13389033946,5707706.594017672,MID,9.0
0,273778.90138669,5707885.659226945,BL,10.0
1,273804.14369891793,5708218.542211225,TL,10.0
2,274137.85101844487,5708193.294776961,TR,10.0
3,274112.6087062169,5707860.411792681,BR,10.0
4,273958.3762025674,5708039.477001953,MID,10.0
0,273804.14369891793,5708218.542211225,BL,11.0
1,273829.3860111459,5708551.425195506,TL,11.0
2,274163.0933306728,5708526.177761242,TR,11.0
3,274137.85101844487,5708193.294776961,BR,11.0
4,273983.6185147954,5708372.3599862335,MID,11.0
0,273829.3860111459,5708551.425195506,BL,12.0
1,273854.62832337385,5708884.308179786,TL,12.0
2,274188.3356429008,5708859.060745522,TR,12.0
3,274163.0933306728,5708526.177761242,BR,12.0
4,274008.86082702334,5708705.242970514,MID,12.0
0,273854.62832337385,5708884.308179786,BL,13.0
1,273879.8706356018,5709217.191164067,TL,13.0
2,274213.57795512874,5709191.943729803,TR,13.0
3,274188.3356429008,5708859.060745522,BR,13.0
4,274034.1031392513,5709038.125954795,MID,13.0
0,273879.8706356018,5709217.191164067,BL,14.0
1,273905.11294782977,5709550.074148348,TL,14.0
2,274238.8202673567,5709524.826714084,TR,14.0
3,274213.57795512874,5709191.943729803,BR,14.0
4,274059.34545147925,5709371.008939075,MID,14.0
0,273905.11294782977,5709550.074148348,BL,15.0
1,273930.3552600577,5709882.957132628,TL,15.0
2,274264.06257958466,5709857.709698364,TR,15.0
3,274238.8202673567,5709524.826714084,BR,15.0
4,274084.5877637072,5709703.891923356,MID,15.0
0,273930.3552600577,5709882.957132628,BL,16.0
1,273955.5975722857,5710215.840116909,TL,16.0
2,274289.3048918126,5710190.592682645,TR,16.0
3,274264.06257958466,5709857.709698364,BR,16.0
4,274109.83007593517,5710036.774907636,MID,16.0
0,273955.5975722857,5710215.840116909,BL,17.0
1,273980.83988451364,5710548.723101189,TL,17.0
2,274314.5472040406,5710523.475666925,TR,17.0
3,274289.3048918126,5710190.592682645,BR,17.0
4,274135.0723881631,5710369.657891917,MID,17.0
0,273980.83988451364,5710548.723101189,BL,18.0
1,274006.0821967416,5710881.60608547,TL,18.0
2,274339.78951626853,5710856.358651206,TR,18.0
3,274314.5472040406,5710523.475666925,BR,18.0
4,274160.3147003911,5710702.540876198,MID,18.0
0,274006.0821967416,5710881.60608547,BL,19.0
1,274031.32450896956,5711214.4890697505,TL,19.0
2,274365.0318284965,5711189.2416354865,TR,19.0
3,274339.78951626853,5710856.358651206,BR,19.0
4,274185.55701261904,5711035.423860478,MID,19.0
0,274031.32450896956,5711214.4890697505,BL,20.0
1,274056.5668211975,5711547.372054031,TL,20.0
2,274390.27414072445,5711522.124619767,TR,20.0
3,274365.0318284965,5711189.2416354865,BR,20.0
4,274210.799324847,5711368.306844759,MID,20.0
0,274056.5668211975,5711547.372054031,BL,21.0
1,274081.8091334255,5711880.255038312,TL,21.0
2,274415.5164529524,5711855.007604048,TR,21.0
3,274390.27414072445,5711522.124619767,BR,21.0
4,274236.04163707496,5711701.189829039,MID,21.0
0,274081.8091334255,5711880.255038312,BL,22.0
1,274107.05144565343,5712213.138022592,TL,22.0
2,274440.75876518036,5712187.890588328,TR,22.0
3,274415.5164529524,5711855.007604048,BR,22.0
4,274261.2839493029,5712034.07281332,MID,22.0
0,274107.05144565343,5712213.138022592,BL,23.0
1,274132.2937578814,5712546.021006873,TL,23.0
2,274466.0010774083,5712520.773572609,TR,23.0
3,274440.75876518036,5712187.890588328,BR,23.0
4,274286.5262615309,5712366.955797601,MID,23.0
0,274132.2937578814,5712546.021006873,BL,24.0
1,274157.53607010935,5712878.903991153,TL,24.0
2,274491.2433896363,5712853.656556889,TR,24.0
3,274466.0010774083,5712520.773572609,BR,24.0
4,274311.76857375883,5712699.838781881,MID,24.0
0,274157.53607010935,5712878.903991153,BL,25.0
1,274182.7783823373,5713211.786975434,TL,25.0
2,274516.48570186424,5713186.53954117,TR,25.0
3,274491.2433896363,5712853.656556889,BR,25.0
4,274337.0108859868,5713032.721766162,MID,25.0
0,274182.7783823373,5713211.786975434,BL,26.0
1,274208.02069456526,5713544.669959715,TL,26.0
2,274541.7280140922,5713519.422525451,TR,26.0
3,274516.48570186424,5713186.53954117,BR,26.0
4,274362.25319821475,5713365.604750442,MID,26.0
0,274208.02069456526,5713544.669959715,BL,27.0
1,274233.2630067932,5713877.552943995,TL,27.0
2,274566.97032632015,5713852.305509731,TR,27.0
3,274541.7280140922,5713519.422525451,BR,27.0
4,274387.4955104427,5713698.487734723,MID,27.0
0,274233.2630067932,5713877.552943995,BL,28.0
1,274258.5053190212,5714210.435928276,TL,28.0
2,274592.2126385481,5714185.188494012,TR,28.0
3,274566.97032632015,5713852.305509731,BR,28.0
4,274412.73782267066,5714031.3707190035,MID,28.0
0,274258.5053190212,5714210.435928276,BL,29.0
1,274283.74763124913,5714543.318912556,TL,29.0
2,274617.45495077607,5714518.071478292,TR,29.0
3,274592.2126385481,5714185.188494012,BR,29.0
4,274437.9801348986,5714364.253703284,MID,29.0
0,274283.74763124913,5714543.318912556,BL,30.0
1,274308.9899434771,5714876.201896837,TL,30.0
2,274642.697263004,5714850.954462573,TR,30.0
3,274617.45495077607,5714518.071478292,BR,30.0
4,274463.2224471266,5714697.136687565,MID,30.0
0,274308.9899434771,5714876.201896837,BL,31.0
1,274334.23225570505,5715209.084881118,TL,31.0
