,x,y,descrip,grid
0,272740.4190425119,5705514.719300944,BL,1.0
1,272854.0157197668,5707012.687337931,TL,1.0
2,274354.442780825,5706899.164187601,TR,1.0
3,274240.84610357013,5705401.196150614,BR,1.0
4,273547.43091166846,5706206.941744273,MID,1.0
0,272854.0157197668,5707012.687337931,BL,2.0
1,272967.6123970217,5708510.655374916,TL,2.0
2,274468.0394580799,5708397.132224586,TR,2.0
3,274354.442780825,5706899.164187601,BR,2.0
4,273661.02758892335,5707704.909781259,MID,2.0
0,272967.6123970217,5708510.655374916,BL,3.0
1,273081.20907427656,5710008.623411903,TL,3.0
2,274581.6361353348,5709895.100261573,TR,3.0
3,274468.0394580799,5708397.132224586,BR,3.0
4,273774.62426617823,5709202.8778182445,MID,3.0
0,273081.20907427656,5710008.623411903,BL,4.0
1,273194.80575153144,5711506.591448888,TL,4.0
2,274695.2328125897,5711393.068298558,TR,4.0
3,274581.6361353348,5709895.100261573,BR,4.0
4,273888.2209434331,5710700.84585523,MID,4.0
0,273194.80575153144,5711506.591448888,BL,5.0
1,273308.4024287863,5713004.559485875,TL,5.0
2,274808.82948984456,5712891.036335545,TR,5.0
3,274695.2328125897,5711393.068298558,BR,5.0
4,274001.817620688,5712198.813892216,MID,5.0
0,273308.4024287863,5713004.559485875,BL,6.0
1,273421.9991060412,5714502.52752286,TL,6.0
2,274922.42616709945,5714389.00437253,TR,6.0
3,274808.82948984456,5712891.036335545,BR,6.0
4,274115.4142979429,5713696.781929202,MID,6.0
0,273421.9991060412,5714502.52752286,BL,7.0
1,273535.5957832961,5716000.495559847,TL,7.0
2,275036.02284435433,5715886.972409517,TR,7.0
3,274922.42616709945,5714389.00437253,BR,7.0
4,274229.0109751978,5715194.749966188,MID,7.0
0,273535.5957832961,5716000.495559847,BL,8.0
1,273649.192460551,5717498.463596832,TL,8.0
2,275149.6195216092,5717384.940446502,TR,8.0
3,275036.02284435433,5715886.972409517,BR,8.0
4,274342.60765245266,5716692.718003174,MID,8.0
0,273649.192460551,5717498.463596832,BL,9.0
1,273762.78913780587,5718996.431633819,TL,9.0
2,275263.2161988641,5718882.9084834885,TR,9.0
3,275149.6195216092,5717384.940446502,BR,9.0
4,274456.20432970754,5718190.68604016,MID,9.0
0,273762.78913780587,5718996.431633819,BL,10.0
1,273876.38581506076,5720494.399670804,TL,10.0
2,275376.812876119,5720380.8765204735,TR,10.0
3,275263.2161988641,5718882.9084834885,BR,10.0
4,274569.8010069624,5719688.654077146,MID,10.0
0,273876.38581506076,5720494.399670804,BL,11.0
1,273989.98249231564,5721992.367707791,TL,11.0
